0,ABVWIg,CXF,0,On Time
1,jkXXAX,YCO,1,On Time
2,CdUz2g,GNB,2,On Time
3,BRS38V,YND,3,Delayed
4,9kvTLo,SEE,4,On Time
5,nMJKVh,LEC,5,On Time
6,8IPFPE,QFO,6,Cancelled
7,pqixbY,STM,7,Cancelled
8,QNAs2R,VCE,8,On Time
9,3jmudz,YVG,9,On Time
10,2P41gZ,NCG,10,Cancelled
11,sBf524,SYP,11,Delayed
12,PlwJZT,LRG,12,Delayed
13,iU75x3,CUG,13,Delayed
14,GUta6R,FAM,14,Delayed
15,8qA80a,OUH,15,Cancelled
16,2haCDu,ZRZ,16,On Time
17,WiVl8o,ENH,17,Delayed
18,e0H5LI,YTH,18,Cancelled
19,nL8kyD,KWL,19,Cancelled
20,9iT79e,CSE,20,Delayed
21,kEARqP,YIF,21,Cancelled
22,dx3NWh,WPB,22,On Time
23,Dpafly,HTZ,23,Delayed
24,WV3aXu,EKI,24,Cancelled
25,f27tyG,TMD,25,On Time
26,g2jtbv,NYU,26,Delayed
27,KQmI30,BRW,27,Delayed
28,uoKrdd,GMM,28,Delayed
29,BhLqLM,ZKB,29,Delayed
30,jy543k,APW,30,Delayed
31,ow3B76,YGE,31,Cancelled
32,sP3mCk,HLU,32,Cancelled
33,yewgFO,SSG,33,Delayed
34,m3EzMU,AYZ,34,Delayed
35,L0fKMv,GOC,35,On Time
36,CCMELG,YBL,36,Delayed
37,xzTlBZ,MJJ,37,Cancelled
38,HKk0Wz,BSJ,38,On Time
39,HyzgMb,CRI,39,Delayed
40,m0Y9PX,XML,40,On Time
41,Dp1Yk1,CVG,41,On Time
42,qBeyHc,DOB,42,Delayed
43,nUcxxq,MQT,43,Cancelled
44,E3lxE1,MJZ,44,On Time
45,gieC4F,SVE,45,On Time
46,N9wtod,ICT,46,Delayed
47,2GBRsN,KVG,47,On Time
48,FaU9VX,APQ,48,Delayed
49,kqtQSY,PLO,49,On Time
50,IsAutB,RBO,50,Cancelled
51,38dxcj,YGP,51,Cancelled
52,fXol41,LKE,52,On Time
53,09lGmv,DYM,53,Delayed
54,ZEtA0W,JUZ,54,On Time
55,teCvT2,TYS,55,Delayed
56,2Fdmm7,JJM,56,Cancelled
57,z50jvE,BDD,57,Delayed
