BookingID,PassengerID,IATA,PilotID,FlightStatusID,DepartureDate
0,ABVWIg,CXF,0,0,6-28-2022
1,jkXXAX,YCO,1,0,12-26-2022
2,CdUz2g,GNB,2,0,1-18-2022
3,BRS38V,YND,3,1,9-16-2022
4,9kvTLo,SEE,4,0,2-25-2022
5,nMJKVh,LEC,5,0,06-10-2022
6,8IPFPE,QFO,6,2,10-30-2022
7,pqixbY,STM,7,2,04-07-2022
8,QNAs2R,VCE,8,0,8-20-2022
9,3jmudz,YVG,9,0,04-06-2022
10,2P41gZ,NCG,10,2,5-27-2022
11,sBf524,SYP,11,1,02-06-2022
12,PlwJZT,LRG,12,1,3-19-2022
13,iU75x3,CUG,13,1,3-24-2022
14,GUta6R,FAM,14,1,03-07-2022
15,8qA80a,OUH,15,2,7-18-2022
16,2haCDu,ZRZ,16,0,9-23-2022
17,WiVl8o,ENH,17,1,3-29-2022
18,e0H5LI,YTH,18,2,11-03-2022
19,nL8kyD,KWL,19,2,09-05-2022
20,9iT79e,CSE,20,1,2-19-2022
21,kEARqP,YIF,21,2,11-05-2022
22,dx3NWh,WPB,22,0,8-24-2022
23,Dpafly,HTZ,23,1,08-06-2022
24,WV3aXu,EKI,24,2,3-20-2022
25,f27tyG,TMD,25,0,2-19-2022
26,g2jtbv,NYU,26,1,10-03-2022
27,KQmI30,BRW,27,1,12-05-2022
28,uoKrdd,GMM,28,1,04-09-2022
29,BhLqLM,ZKB,29,1,4-14-2022
30,jy543k,APW,30,1,7-22-2022
31,ow3B76,YGE,31,2,08-05-2022
32,sP3mCk,HLU,32,2,3-25-2022
33,yewgFO,SSG,33,1,9-23-2022
34,m3EzMU,AYZ,34,1,11-23-2022
35,L0fKMv,GOC,35,0,6-25-2022
36,CCMELG,YBL,36,1,7-22-2022
37,xzTlBZ,MJJ,37,2,12-21-2022
38,HKk0Wz,BSJ,38,0,01-11-2022
39,HyzgMb,CRI,39,1,12-11-2022
40,m0Y9PX,XML,40,0,12-15-2022
41,Dp1Yk1,CVG,41,0,6-16-2022
42,qBeyHc,DOB,42,1,07-08-2022
43,nUcxxq,MQT,43,2,5-17-2022
44,E3lxE1,MJZ,44,0,2-21-2022
45,gieC4F,SVE,45,0,3-21-2022
46,N9wtod,ICT,46,1,11-08-2022
47,2GBRsN,KVG,47,0,6-22-2022
48,FaU9VX,APQ,48,1,4-26-2022
49,kqtQSY,PLO,49,0,03-06-2022
50,IsAutB,RBO,50,2,5-13-2022
51,38dxcj,YGP,51,2,5-15-2022
52,fXol41,LKE,52,0,12-08-2022
53,09lGmv,DYM,53,1,11-23-2022
54,ZEtA0W,JUZ,54,0,9-22-2022
55,teCvT2,TYS,55,1,02-07-2022
56,2Fdmm7,JJM,56,2,7-27-2022
57,z50jvE,BDD,57,1,11-24-2022
58,NvdMpW,PBU,58,2,12-18-2022
59,Zf643n,OUG,59,0,4-29-2022
