CXF,Coldfoot Airport,United States,North America
YCO,Kugluktuk Airport,Canada,North America
GNB,Grenoble-Isère Airport,France,Europe
YND,Ottawa / Gatineau Airport,Canada,North America
SEE,Gillespie Field,United States,North America
LEC,Coronel Horácio de Mattos Airport,Brazil,South America
QFO,Duxford Aerodrome,United Kingdom,Europe
STM,Maestro Wilson Fonseca Airport,Brazil,South America
VCE,Venice Marco Polo Airport,Italy,Europe
YVG,Vermilion Airport,Canada,North America
NCG,Nuevo Casas Grandes Airport,Mexico,North America
SYP,Ruben Cantu Airport,Panama,North America
LRG,Loralai Airport,Pakistan,Asia
CUG,Cudal Airport,Australia,Oceania
FAM,Farmington Regional Airport,United States,North America
OUH,Oudtshoorn Airport,South Africa,Africa
ZRZ,Zaraza Airport,Venezuela,South America
ENH,Enshi Airport,China,Asia
YTH,Thompson Airport,Canada,North America
KWL,Guilin Liangjiang International Airport,China,Asia
CSE,Crested Butte Airpark,United States,North America
YIF,St Augustin Airport,Canada,North America
WPB,Port Bergé Airport,Madagascar,Africa
HTZ,Hato Corozal Airport,Colombia,South America
EKI,Elkhart Municipal Airport,United States,North America
TMD,Timbedra Airport,Mauritania,Africa
NYU,Bagan Airport,Myanmar,Asia
BRW,Wiley Post Will Rogers Memorial Airport,United States,North America
GMM,Gamboma Airport,Congo,Africa
ZKB,Kasaba Bay Airport,Zambia,Africa
APW,Faleolo International Airport,Samoa,Oceania
YGE,Gorge Harbour Seaplane Base,Canada,North America
HLU,Nesson Airport,New Caledonia,Oceania
SSG,Malabo Airport,Equatorial Guinea,Africa
AYZ,Zahn's Airport,United States,North America
GOC,Gora Airstrip,Papua New Guinea,Oceania
YBL,Campbell River Airport,Canada,North America
MJJ,Moki Airport,Papua New Guinea,Oceania
BSJ,Bairnsdale Airport,Australia,Oceania
CRI,Colonel Hill Airport,Bahamas,North America
XML,Minlaton Airport,Australia,Oceania
CVG,Cincinnati Northern Kentucky International Airport,United States,North America
DOB,Rar Gwamar Airport,Indonesia,Asia
MQT,Sawyer International Airport,United States,North America
MJZ,Mirny Airport,Russian Federation,Asia
SVE,Susanville Municipal Airport,United States,North America
ICT,Wichita Eisenhower National Airport,United States,North America
KVG,Kavieng Airport,Papua New Guinea,Oceania
APQ,Arapiraca Airport,Brazil,South America
PLO,Port Lincoln Airport,Australia,Oceania
RBO,Roboré Airport,Bolivia,South America
YGP,Gaspé (Michel-Pouliot) Airport,Canada,North America
LKE,Kenmore Air Harbor Seaplane Base,United States,North America
DYM,Diamantina Lakes Airport,Australia,Oceania
JUZ,Quzhou Airport,China,Asia
TYS,McGhee Tyson Airport,United States,North America
JJM,Mulika Lodge Airport,Kenya,Africa
BDD,Badu Island Airport,Australia,Oceania
PBU,Putao Airport,Myanmar,Asia
OUG,Ouahigouya Airport,Burkina Faso,Africa
ZTS,Tahsis Seaplane Base,Canada,North America
AEL,Albert Lea Municipal Airport,United States,North America
WMO,White Mountain Airport,United States,North America
RSW,Southwest Florida International Airport,United States,North America
ZGL,South Galway Airport,Australia,Oceania
DOI,Doini Airport,Papua New Guinea,Oceania
NKG,Nanjing Lukou Airport,China,Asia
FRS,Mundo Maya International Airport,Guatemala,North America
LZN,Matsu Nangan Airport,Taiwan,Asia
BBI,Biju Patnaik Airport,India,Asia
THT,Tamchakett Airport,Mauritania,Africa
RUF,Yuruf Airport,Indonesia,Asia
0,Monte Carmelo Airport,Brazil,South America
VDS,Vadsø Airport,Norway,Europe
FKQ,Fakfak Airport,Indonesia,Asia
PBP,Islita Airport,Costa Rica,North America
PDL,João Paulo II Airport,Portugal,Europe
BTC,Batticaloa Airport,Sri Lanka,Asia
MBY,Omar N Bradley Airport,United States,North America
LIH,Lihue Airport,United States,North America
SUS,Spirit of St Louis Airport,United States,North America
UOA,Mururoa Atoll Airport,French Polynesia,Oceania
DEN,Denver International Airport,United States,North America
ARL,Arly Airport,Burkina Faso,Africa
SGF,Springfield Branson National Airport,United States,North America
NTC,Paradise Island Airport,Mozambique,Africa
YMB,Merritt Airport,Canada,North America
NRS,Naval Outlying Field Imperial Beach (Ream Field),United States,North America
INF,In Guezzam Airport,Algeria,Africa
ADH,Aldan Airport,Russian Federation,Asia
BHP,Bhojpur Airport,Nepal,Asia
GOZ,Gorna Oryahovitsa Airport,Bulgaria,Europe
PIB,Hattiesburg Laurel Regional Airport,United States,North America
NAL,Nalchik Airport,Russian Federation,Europe
VNC,Venice Municipal Airport,United States,North America
TDT,Tanda Tula Airport,South Africa,Africa
LRR,Lar Airport,Iran,Asia
SWF,Stewart International Airport,United States,North America
GOA,Genoa Cristoforo Colombo Airport,Italy,Europe
BUA,Buka Airport,Papua New Guinea,Oceania
RUY,Copán Ruinas Airport,Honduras,North America
AYS,Waycross Ware County Airport,United States,North America
NUD,En Nahud Airport,Sudan,Africa
HOT,Memorial Field,United States,North America
TRA,Tarama Airport,Japan,Asia
AXT,Akita Airport,Japan,Asia
HAZ,Hatzfeldhaven Airport,Papua New Guinea,Oceania
TPI,Tapini Airport,Papua New Guinea,Oceania
LRM,Casa De Campo International Airport,Dominican Republic,North America
OWA,Owatonna Degner Regional Airport,United States,North America
HDG,Handan Airport,China,Asia
MMV,Mal Airport,Papua New Guinea,Oceania
FAS,Fáskrúðsfjörður Airport,Iceland,Europe
OSE,Omora Airport,Papua New Guinea,Oceania
ZFM,Fort Mcpherson Airport,Canada,North America
NCL,Newcastle Airport,United Kingdom,Europe
GHN,Guanghan Airport,China,Asia
PUI,Pureni Airport,Papua New Guinea,Oceania
LSJ,Long Island Airport,Papua New Guinea,Oceania
WUT,Xinzhou Wutaishan Airport,China,Asia
BDH,Bandar Lengeh Airport,Iran,Asia
CQA,Canarana Airport,Brazil,South America
CAH,Cà Mau Airport,Viet Nam,Asia
TEI,Tezu Airport,India,Asia
KKQ,Krasnoselkup Airport,Russian Federation,Europe
MEU,Monte Dourado Airport,Brazil,South America
AWB,Awaba Airport,Papua New Guinea,Oceania
SOR,Al Thaurah Airport,Syrian Arab Republic,Asia
SBZ,Sibiu International Airport,Romania,Europe
PNU,Panguitch Municipal Airport,United States,North America
CUY,Cue Airport,Australia,Oceania
IIL,Ilam Airport,Iran,Asia
HLV,Helenvale Airport,Australia,Oceania
DHT,Dalhart Municipal Airport,United States,North America
XMY,Yam Island Airport,Australia,Oceania
SGO,St George Airport,Australia,Oceania
DAL,Dallas Love Field,United States,North America
CYB,Gerrard Smith International Airport,Cayman Islands,North America
WID,RAF Wildenrath,Germany,Europe
REX,General Lucio Blanco International Airport,Mexico,North America
WTT,Wantoat Airport,Papua New Guinea,Oceania
SOF,Sofia Airport,Bulgaria,Europe
GMS,Antônio Guerreiro Airport,Brazil,South America
OWK,Central Maine Airport of Norridgewock,United States,North America
LSF,Lawson Army Air Field (Fort Benning),United States,North America
UMS,Ust-Maya Airport,Russian Federation,Europe
DBY,Dalby Airport,Australia,Oceania
LUE,Lučenec Airport,Slovakia,Europe
MEY,Meghauli Airport,Nepal,Asia
NIB,Nikolai Airport,United States,North America
BJI,Bemidji Regional Airport,United States,North America
BMU,Muhammad Salahuddin Airport,Indonesia,Asia
ZMG,Magdeburg City Airport,Germany,Europe
QDJ,Tsletsi Airport,Algeria,Africa
GTE,Groote Eylandt Airport,Australia,Oceania
SMN,Lemhi County Airport,United States,North America
GVI,Green River Airport,Papua New Guinea,Oceania
ENA,Kenai Municipal Airport,United States,North America
MGV,Margaret River (Station) Airport,Australia,Oceania
SPI,Abraham Lincoln Capital Airport,United States,North America
AZD,Shahid Sadooghi Airport,Iran,Asia
ASS,Arathusa Safari Lodge Airport,South Africa,Africa
BWP,Bewani Airport,Papua New Guinea,Oceania
JWA,Jwaneng Airport,Botswana,Africa
TUI,Turaif Domestic Airport,Saudi Arabia,Asia
LGQ,Nueva Loja Airport,Ecuador,South America
BCS,Southern Seaplane Airport,United States,North America
WNU,Wanuma Airport,Papua New Guinea,Oceania
AHT,Amchitka Army Airfield,United States,North America
AQA,Araraquara Airport,Brazil,South America
AZA,Phoenix-Mesa-Gateway Airport,United States,North America
ORC,Orocue Airport,Colombia,South America
GOP,Gorakhpur Airport,India,Asia
VAD,Moody Air Force Base,United States,North America
SAE,Sangir Airport,Indonesia,Asia
QJB,Jubail Airport,Saudi Arabia,Asia
TRH,Trona Airport,United States,North America
KBI,Kribi Airport,Cameroon,Africa
YBI,Black Tickle Airport,Canada,North America
PKK,Pakhokku Airport,Myanmar,Asia
HVD,Khovd Airport,Mongolia,Asia
RLG,Rostock-Laage Airport,Germany,Europe
MZW,Mecheria Airport,Algeria,Africa
YSN,Shuswap Regional Airport,Canada,North America
BPA,Grumman Bethpage Airport,United States,North America
DCF,Canefield Airport,Dominica,North America
TTE,Sultan Khairun Babullah Airport,Indonesia,Asia
BOG,El Dorado International Airport,Colombia,South America
OLK,Fuerte Olimpo Airport,Paraguay,South America
YGQ,Geraldton Greenstone Regional Airport,Canada,North America
MTZ,Bar Yehuda Airfield,Israel,Asia
YBR,Brandon Municipal Airport,Canada,North America
RJK,Rijeka Airport,Croatia,Europe
LEB,Lebanon Municipal Airport,United States,North America
VCF,Valcheta Airport,Argentina,South America
FTA,Futuna Airport,Vanuatu,Oceania
NYN,Nyngan Airport,Australia,Oceania
TKM,El Petén Airport,Guatemala,North America
TLK,Talakan Airport,Russian Federation,Europe
YEY,Amos/Magny Airport,Canada,North America
BGD,Hutchinson County Airport,United States,North America
KAT,Kaitaia Airport,New Zealand,Oceania
OKM,Okmulgee Regional Airport,United States,North America
KAX,Kalbarri Airport,Australia,Oceania
MXU,Mullewa Airport,Australia,Oceania
OSI,Osijek Airport,Croatia,Europe
PNQ,Pune Airport,India,Asia
DIN,Dien Bien Phu Airport,Viet Nam,Asia
LER,Leinster Airport,Australia,Oceania
VLE,Valle Airport,United States,North America
ETD,Etadunna Airport,Australia,Oceania
KEC,Kasenga Airport,Congo,Africa
YWK,Wabush Airport,Canada,North America
YKL,Schefferville Airport,Canada,North America
LUP,Kalaupapa Airport,United States,North America
YWH,Victoria Harbour Seaplane Base,Canada,North America
UBS,Columbus Lowndes County Airport,United States,North America
ENL,Centralia Municipal Airport,United States,North America
MPW,Mariupol International Airport,Ukraine,Europe
JGN,Jiayuguan Airport,China,Asia
KLF,Grabtsevo Airport,Russian Federation,Europe
GEV,Gällivare Airport,Sweden,Europe
FEC,João Durval Carneiro Airport,Brazil,South America
TLW,Talasea Airport,Papua New Guinea,Oceania
MGA,Augusto C. Sandino (Managua) International Airport,Nicaragua,North America
OUN,University of Oklahoma Westheimer Airport,United States,North America
SPE,Sepulot Airport,Malaysia,Asia
NRN,Weeze Airport,Germany,Europe
MXH,Moro Airport,Papua New Guinea,Oceania
ABG,Abingdon Downs Airport,Australia,Oceania
YYN,Swift Current Airport,Canada,North America
SUN,Friedman Memorial Airport,United States,North America
SXG,Senanga Airport,Zambia,Africa
LYE,RAF Lyneham,United Kingdom,Europe
HZV,Hazyview Airport,South Africa,Africa
ALO,Waterloo Regional Airport,United States,North America
JIJ,Wilwal International Airport,Ethiopia,Africa
YJA,Jasper Airport,Canada,North America
BXP,Biała Podlaska Airfield,Poland,Europe
SNP,St Paul Island Airport,United States,North America
SLC,Salt Lake City International Airport,United States,North America
WAF,Wana Airport,Pakistan,Asia
VTM,Nevatim Air Base,Israel,Asia
SNU,Abel Santamaria Airport,Cuba,North America
BCN,Barcelona International Airport,Spain,Europe
BBM,Battambang Airport,Cambodia,Asia
AEK,Aseki Airport,Papua New Guinea,Oceania
VRL,Vila Real Airport,Portugal,Europe
JAQ,Jacquinot Bay Airport,Papua New Guinea,Oceania
TYB,Tibooburra Airport,Australia,Oceania
MOU,Mountain Village Airport,United States,North America
TTH,Thumrait Air Base,Oman,Asia
LIM,Jorge Chávez International Airport,Peru,South America
CTP,Carutapera Airport,Brazil,South America
ROD,Robertson Airport,South Africa,Africa
PCF,Potchefstroom Airport,South Africa,Africa
NTE,Nantes Atlantique Airport,France,Europe
MML,Southwest Minnesota Regional Airport - Marshall/Ryan Field,United States,North America
QUY,RAF Wyton,United Kingdom,Europe
NDM,Mendi Airport,Ethiopia,Africa
WPM,Wipim Airport,Papua New Guinea,Oceania
WXN,Wanxian Airport,China,Asia
JOI,Lauro Carneiro de Loyola Airport,Brazil,South America
BHQ,Broken Hill Airport,Australia,Oceania
KTU,Kota Airport,India,Asia
IGG,Igiugig Airport,United States,North America
WST,Westerly State Airport,United States,North America
LTM,Lethem Airport,Guyana,South America
RUG,Rugao Air Base,China,Asia
SQX,São Miguel do Oeste Airport,Brazil,South America
UIH,Phu Cat Airport,Viet Nam,Asia
ORX,Oriximiná Airport,Brazil,South America
GHB,Governor's Harbour Airport,Bahamas,North America
BUV,Bella Union Airport,Uruguay,South America
YEH,Asaloyeh Airport,Iran,Asia
HMG,Hermannsburg Airport,Australia,Oceania
DAX,Dachuan Airport,China,Asia
FYJ,Dongji Aiport,China,Asia
PCO,Punta Colorada Airport,Mexico,North America
DHB,Deer Harbor SPB,United States,North America
RAZ,Rawalakot Airport,Pakistan,Asia
YXL,Sioux Lookout Airport,Canada,North America
KWN,Quinhagak Airport,United States,North America
TCZ,Tengchong Tuofeng Airport,China,Asia
RBA,Rabat-Salé Airport,Morocco,Africa
DEE,Mendeleyevo Airport,Russian Federation,Asia
MRX,Mahshahr Airport,Iran,Asia
ALJ,Alexander Bay Airport,South Africa,Africa
YBJ,Baie-Johan-Beetz Water Aerodrome,Canada,North America
LOR,Lowe AHP (Fort Rucker) Heliport,United States,North America
NBA,Nambaiyufa Airport,Papua New Guinea,Oceania
RNC,Warren County Memorial Airport,United States,North America
NYW,Monywar Airport,Myanmar,Asia
LFO,Kelafo East Airport,Ethiopia,Africa
VSF,Hartness State (Springfield) Airport,United States,North America
VVO,Vladivostok International Airport,Russian Federation,Asia
SUM,Sumter Airport,United States,North America
URE,Kuressaare Airport,Estonia,Europe
XIJ,Ahmed Al Jaber Air Base,Kuwait,Asia
LRA,Larisa Airport,Greece,Europe
THD,Tho Xuan Airport,Viet Nam,Asia
KSB,Kasonombe Airport,Papua New Guinea,Oceania
MEM,Memphis International Airport,United States,North America
BNR,Banfora Airport,Burkina Faso,Africa
YAX,Wapekeka Airport,Canada,North America
DSS,Blaise Diagne International Airport,Senegal,Africa
RBJ,Rebun Airport,Japan,Asia
TDN,Theda Station Airport,Australia,Oceania
AKE,Akieni Airport,Gabon,Africa
PML,Port Moller Airport,United States,North America
GSR,Gardo Airport,Somalia,Africa
CSV,Crossville Memorial Whitson Field,United States,North America
JOK,Yoshkar-Ola Airport,Russian Federation,Europe
OCA,Ocean Reef Club Airport,United States,North America
DOU,Dourados Airport,Brazil,South America
SOI,South Molle Island Helipad,Australia,Oceania
KVB,Skövde Airport,Sweden,Europe
KEO,Odienne Airport,Côte d'Ivoire,Africa
YBM,Bronson Creek Airport,Canada,North America
HAC,Hachijojima Airport,Japan,Asia
MPN,Mount Pleasant Airport,Falkland Islands (Malvinas),South America
BZX,Bazhong Enyang Airport,China,Asia
CUZ,Alejandro Velasco Astete International Airport,Peru,South America
AVU,Avu Avu Airport,Solomon Islands,Oceania
WMN,Maroantsetra Airport,Madagascar,Africa
PSU,Pangsuma Airport,Indonesia,Asia
BDE,Baudette International Airport,United States,North America
CLV,Nelson Ribeiro Guimarães Airport,Brazil,South America
CVT,Coventry Airport,United Kingdom,Europe
IOA,Ioannina Airport,Greece,Europe
BOE,Boundji Airport,Congo,Africa
APV,Apple Valley Airport,United States,North America
AOS,Amook Bay Seaplane Base,United States,North America
GWE,Thornhill Air Base,Zimbabwe,Africa
YXJ,Fort St John Airport,Canada,North America
NDC,Nanded Airport,India,Asia
RAJ,Rajkot Airport,India,Asia
UPB,Playa Baracoa Airport,Cuba,North America
SLJ,Solomon Airport,Australia,Oceania
WSU,Wasu Airport,Papua New Guinea,Oceania
GND,Point Salines International Airport,Grenada,North America
ARU,Araçatuba Airport,Brazil,South America
VCP,Viracopos International Airport,Brazil,South America
CNK,Blosser Municipal Airport,United States,North America
OCM,Boolgeeda,Australia,Oceania
GRD,Greenwood County Airport,United States,North America
UPL,Upala Airport,Costa Rica,North America
WLL,Wollogorang Airport,Australia,Oceania
LLL,Lissadell Airport,Australia,Oceania
LBQ,Lambarene Airport,Gabon,Africa
GAD,Northeast Alabama Regional Airport,United States,North America
TQL,Tarko-Sale Airport,Russian Federation,Asia
YCH,Miramichi Airport,Canada,North America
QLP,Sarzana-Luni Air Base,Italy,Europe
MOV,Moranbah Airport,Australia,Oceania
MRB,Eastern WV Regional Airport/Shepherd Field,United States,North America
CPU,Cururupu Airport,Brazil,South America
PVS,Provideniya Bay Airport,Russian Federation,Europe
SHB,Nakashibetsu Airport,Japan,Asia
SIJ,Siglufjörður Airport,Iceland,Europe
SHA,Shanghai Hongqiao International Airport,China,Asia
FLA,Gustavo Artunduaga Paredes Airport,Colombia,South America
RBY,Ruby Airport,United States,North America
HLD,Dongshan Airport,China,Asia
GUL,Goulburn Airport,Australia,Oceania
MJK,Shark Bay Airport,Australia,Oceania
YXK,Rimouski Airport,Canada,North America
AHJ,Hongyuan Airport,China,Asia
POI,Capitan Nicolas Rojas Airport,Bolivia,South America
KNA,Viña del mar Airport,Chile,South America
AKU,Aksu Airport,China,Asia
CWL,Cardiff International Airport,United Kingdom,Europe
VDZ,Valdez Pioneer Field,United States,North America
SZS,Ryan's Creek Aerodrome,New Zealand,Oceania
ZBM,Bromont (Roland Desourdy) Airport,Canada,North America
NZY,North Island Naval Air Station-Halsey Field,United States,North America
DMU,Dimapur Airport,India,Asia
GAO,Mariana Grajales Airport,Cuba,North America
IDA,Idaho Falls Regional Airport,United States,North America
VSK,Vista Field,United States,North America
FRC,Tenente Lund Pressoto Airport,Brazil,South America
GRX,Federico Garcia Lorca Airport,Spain,Europe
TRU,Capitan FAP Carlos Martinez De Pinillos International Airport,Peru,South America
YDF,Deer Lake Airport,Canada,North America
SJF,Cruz Bay Seaplane Base,Virgin Islands,North America
IPT,Williamsport Regional Airport,United States,North America
WOL,Wollongong Airport,Australia,Oceania
PNG,Paranaguá Airport,Brazil,South America
MKM,Mukah Airport,Malaysia,Asia
JOJ,Doris Lake,Canada,North America
UST,Northeast Florida Regional Airport,United States,North America
LML,Lae Island Airport,Marshall Islands,Oceania
KIN,Norman Manley International Airport,Jamaica,North America
RYO,28 de Noviembre Airport,Argentina,South America
DCT,Duncan Town Airport,Bahamas,North America
MBT,Moises R. Espinosa Airport,Philippines,Asia
EIE,Yeniseysk Airport,Russian Federation,Asia
ARW,Arad International Airport,Romania,Europe
WCR,Chandalar Lake Airport,United States,North America
DUG,Bisbee Douglas International Airport,United States,North America
ONT,Ontario International Airport,United States,North America
AGO,Ralph C Weiser Field,United States,North America
INC,Yinchuan Hedong International Airport,China,Asia
BMI,Central Illinois Regional Airport at Bloomington-Normal,United States,North America
TOT,Totness Airport,Suriname,South America
MSA,Muskrat Dam Airport,Canada,North America
AUW,Wausau Downtown Airport,United States,North America
SXK,Saumlaki/Olilit Airport,Indonesia,Asia
TNP,Twentynine Palms Airport,United States,North America
KWY,Kiwayu Airport,Kenya,Africa
UKU,Nuku Airport,Papua New Guinea,Oceania
MTG,Vila Bela da Santíssima Trindade Airport,Brazil,South America
PSX,Palacios Municipal Airport,United States,North America
KJH,Kaili Airport,China,Asia
PYC,Playón Chico Airport,Panama,North America
LOI,Helmuth Baungarten Airport,Brazil,South America
SJQ,Sesheke Airport,Zambia,Africa
DLV,Delissaville Airport,Australia,Oceania
TCW,Tocumwal Airport,Australia,Oceania
RCS,Rochester Airport,United Kingdom,Europe
ATD,Uru Harbour Airport,Solomon Islands,Oceania
SJU,Luis Munoz Marin International Airport,Puerto Rico,North America
SXN,Sua Pan Airport,Botswana,Africa
HEX,Herrera Airport,Dominican Republic,North America
WLS,Hihifo Airport,Wallis and Futuna,Oceania
CUO,Carurú Airport,Colombia,South America
DAS,Great Bear Lake Airport,Canada,North America
CCC,Jardines Del Rey Airport,Cuba,North America
NBE,Enfidha - Hammamet International Airport,Tunisia,Africa
RAK,Menara Airport,Morocco,Africa
NBH,Nambucca Heads Airport,Australia,Oceania
WSM,Wiseman Airport,United States,North America
ULD,Prince Mangosuthu Buthelezi Airport,South Africa,Africa
YLQ,La Tuque Airport,Canada,North America
YBP,Yibin Caiba Airport,China,Asia
CBV,Coban Airport,Guatemala,North America
NKB,Noonkanbah Airport,Australia,Oceania
PZH,Zhob Airport,Pakistan,Asia
TLP,Tumolbil Airport,Papua New Guinea,Oceania
KYA,Konya Airport,Turkey,Asia
SOB,Sármellék International Airport,Hungary,Europe
YJN,St Jean Airport,Canada,North America
YVC,La Ronge Airport,Canada,North America
ALN,St Louis Regional Airport,United States,North America
HIT,Haivaro Airport,Papua New Guinea,Oceania
QID,Mélio Viana Airport,Brazil,South America
QSN,San Nicolas De Bari Airport,Cuba,North America
EWR,Newark Liberty International Airport,United States,North America
OXC,Waterbury Oxford Airport,United States,North America
BWY,RAF Bentwaters,United Kingdom,Europe
HRM,Hassi R'Mel Airport,Algeria,Africa
SDS,Sado Airport,Japan,Asia
TTW,Tissa Tank Waterdrome,Sri Lanka,Asia
ANY,Anthony Municipal Airport,United States,North America
BNY,Bellona/Anua Airport,Solomon Islands,Oceania
ESI,Espinosa Airport,Brazil,South America
TNH,Tonghua Sanyuanpu Airport,China,Asia
JHQ,Shute Harbour Airport,Australia,Oceania
WKK,Aleknagik / New Airport,United States,North America
CPB,Capurganá Airport,Colombia,South America
SPB,Charlotte Amalie Harbor Seaplane Base,Virgin Islands,North America
MWN,Mwadui Airport,Tanzania,Africa
CZS,Cruzeiro do Sul Airport,Brazil,South America
KVK,Kirovsk-Apatity Airport,Russian Federation,Europe
TEE,Cheikh Larbi Tébessi Airport,Algeria,Africa
LJU,Ljubljana Jože Pučnik Airport,Slovenia,Europe
LEQ,Land's End Airport,United Kingdom,Europe
KIB,Ivanof Bay Seaplane Base,United States,North America
GUE,Guriaso (Keraso) Airport,Papua New Guinea,Oceania
YAY,St. Anthony Airport,Canada,North America
NHK,Patuxent River Naval Air Station (Trapnell Field),United States,North America
MTL,Maitland Airport,Australia,Oceania
YMG,Manitouwadge Airport,Canada,North America
ADF,Adıyaman Airport,Turkey,Asia
AND,Anderson Regional Airport,United States,North America
ORA,Orán Airport,Argentina,South America
CTX,Cortland County Chase Field,United States,North America
KNR,Jam Airport,Iran,Asia
SWG,Satwag Airport,Papua New Guinea,Oceania
URD,Burg Feuerstein Airport,Germany,Europe
NDS,Sandstone Airport,Australia,Oceania
MWE,Merowe New Airport,Sudan,Africa
DLZ,Dalanzadgad Airport,Mongolia,Asia
DLC,Zhoushuizi Airport,China,Asia
ZTR,Zhytomyr Airport,Ukraine,Europe
AJU,Santa Maria Airport,Brazil,South America
LIK,Likiep Airport,Marshall Islands,Oceania
HTM,Khatgal Airport,Mongolia,Asia
BFF,Western Neb. Rgnl/William B. Heilig Airport,United States,North America
IDI,Indiana County/Jimmy Stewart Fld/ Airport,United States,North America
