BookingID,PassengerID,IATA,PilotID,FlightStatus,DepartureDate
0,ABVWIg,CXF,0,On Time,6-28-2022
1,jkXXAX,YCO,1,On Time,12-26-2022
2,CdUz2g,GNB,2,On Time,1-18-2022
3,BRS38V,YND,3,Delayed,9-16-2022
4,9kvTLo,SEE,4,On Time,2-25-2022
5,nMJKVh,LEC,5,On Time,06-10-2022
6,8IPFPE,QFO,6,Cancelled,10-30-2022
7,pqixbY,STM,7,Cancelled,04-07-2022
8,QNAs2R,VCE,8,On Time,8-20-2022
9,3jmudz,YVG,9,On Time,04-06-2022
10,2P41gZ,NCG,10,Cancelled,5-27-2022
11,sBf524,SYP,11,Delayed,02-06-2022
12,PlwJZT,LRG,12,Delayed,3-19-2022
13,iU75x3,CUG,13,Delayed,3-24-2022
14,GUta6R,FAM,14,Delayed,03-07-2022
15,8qA80a,OUH,15,Cancelled,7-18-2022
16,2haCDu,ZRZ,16,On Time,9-23-2022
17,WiVl8o,ENH,17,Delayed,3-29-2022
18,e0H5LI,YTH,18,Cancelled,11-03-2022
19,nL8kyD,KWL,19,Cancelled,09-05-2022
20,9iT79e,CSE,20,Delayed,2-19-2022
21,kEARqP,YIF,21,Cancelled,11-05-2022
22,dx3NWh,WPB,22,On Time,8-24-2022
23,Dpafly,HTZ,23,Delayed,08-06-2022
24,WV3aXu,EKI,24,Cancelled,3-20-2022
25,f27tyG,TMD,25,On Time,2-19-2022
26,g2jtbv,NYU,26,Delayed,10-03-2022
27,KQmI30,BRW,27,Delayed,12-05-2022
28,uoKrdd,GMM,28,Delayed,04-09-2022
29,BhLqLM,ZKB,29,Delayed,4-14-2022
30,jy543k,APW,30,Delayed,7-22-2022
31,ow3B76,YGE,31,Cancelled,08-05-2022
32,sP3mCk,HLU,32,Cancelled,3-25-2022
33,yewgFO,SSG,33,Delayed,9-23-2022
34,m3EzMU,AYZ,34,Delayed,11-23-2022
35,L0fKMv,GOC,35,On Time,6-25-2022
36,CCMELG,YBL,36,Delayed,7-22-2022
37,xzTlBZ,MJJ,37,Cancelled,12-21-2022
38,HKk0Wz,BSJ,38,On Time,01-11-2022
39,HyzgMb,CRI,39,Delayed,12-11-2022
40,m0Y9PX,XML,40,On Time,12-15-2022
41,Dp1Yk1,CVG,41,On Time,6-16-2022
42,qBeyHc,DOB,42,Delayed,07-08-2022
43,nUcxxq,MQT,43,Cancelled,5-17-2022
44,E3lxE1,MJZ,44,On Time,2-21-2022
45,gieC4F,SVE,45,On Time,3-21-2022
46,N9wtod,ICT,46,Delayed,11-08-2022
47,2GBRsN,KVG,47,On Time,6-22-2022
48,FaU9VX,APQ,48,Delayed,4-26-2022
49,kqtQSY,PLO,49,On Time,03-06-2022
50,IsAutB,RBO,50,Cancelled,5-13-2022
51,38dxcj,YGP,51,Cancelled,5-15-2022
52,fXol41,LKE,52,On Time,12-08-2022
53,09lGmv,DYM,53,Delayed,11-23-2022
54,ZEtA0W,JUZ,54,On Time,9-22-2022
55,teCvT2,TYS,55,Delayed,02-07-2022
56,2Fdmm7,JJM,56,Cancelled,7-27-2022
57,z50jvE,BDD,57,Delayed,11-24-2022
58,NvdMpW,PBU,58,Cancelled,12-18-2022
59,Zf643n,OUG,59,On Time,4-29-2022
60,sF1bgv,ZTS,60,Cancelled,1-31-2022
61,0auTO9,AEL,61,On Time,07-05-2022
62,2MwBUd,WMO,62,Delayed,7-20-2022
63,F6FIhA,RSW,63,Cancelled,3-24-2022
64,fFCRXo,ZGL,64,Cancelled,11-10-2022
65,MR979m,DOI,65,On Time,07-06-2022
66,HOUKta,NKG,66,Cancelled,10-11-2022
67,ycRswR,FRS,67,Cancelled,5-25-2022
68,swq47m,LZN,68,On Time,10-27-2022
69,rUPU18,BBI,69,Delayed,7-22-2022
70,k2G45D,THT,70,Delayed,10-25-2022
71,udSiKS,RUF,71,Delayed,05-02-2022
72,ZE7IB5,VDS,73,Cancelled,11-25-2022
73,llbqHF,FKQ,74,Cancelled,04-09-2022
74,MQFk2E,PBP,75,Cancelled,7-15-2022
75,3CAHBo,PDL,76,On Time,8-26-2022
76,KTegxQ,BTC,77,Cancelled,02-12-2022
77,hXhRFH,MBY,78,Cancelled,5-19-2022
78,RXha8e,LIH,79,On Time,1-31-2022
79,phfnHI,SUS,80,On Time,7-17-2022
80,cYDvaj,ZTS,81,On Time,11-16-2022
