"continent","month","season","total_flights","delay_rate"
"Africa","1","Summer","967","0.33919338159255429162"
"Africa","2","Summer","827","0.34582829504232164450"
"Africa","3","Autumn","930","0.31505376344086021505"
"Africa","4","Autumn","886","0.36343115124153498871"
"Africa","5","Autumn","933","0.34619506966773847803"
"Africa","6","Winter","932","0.30364806866952789700"
"Africa","7","Winter","955","0.33507853403141361257"
"Africa","8","Winter","959","0.30448383733055265902"
"Africa","9","Spring","952","0.35714285714285714286"
"Africa","10","Spring","943","0.32449628844114528102"
"Africa","11","Spring","854","0.30913348946135831382"
"Africa","12","Summer","890","0.33258426966292134831"
"Asia","1","Summer","1572","0.33396946564885496183"
"Asia","2","Summer","1494","0.32597054886211512718"
"Asia","3","Autumn","1554","0.33783783783783783784"
"Asia","4","Autumn","1482","0.33265856950067476383"
"Asia","5","Autumn","1595","0.32225705329153605016"
"Asia","6","Winter","1586","0.34930643127364438840"
"Asia","7","Winter","1634","0.31884944920440636475"
"Asia","8","Winter","1627","0.32206515058389674247"
"Asia","9","Spring","1535","0.32247557003257328990"
"Asia","10","Spring","1609","0.33312616532007458048"
"Asia","11","Spring","1527","0.33922724296005239031"
"Asia","12","Summer","1415","0.32932862190812720848"
"Europe","1","Summer","1028","0.34533073929961089494"
"Europe","2","Summer","947","0.33157338965153115100"
"Europe","3","Autumn","1056","0.34943181818181818182"
"Europe","4","Autumn","1011","0.34619188921859545005"
"Europe","5","Autumn","1146","0.31762652705061082024"
"Europe","6","Winter","988","0.35121457489878542510"
"Europe","7","Winter","1002","0.33532934131736526946"
"Europe","8","Winter","1072","0.34141791044776119403"
"Europe","9","Spring","1028","0.33463035019455252918"
"Europe","10","Spring","1066","0.33208255159474671670"
"Europe","11","Spring","1016","0.33661417322834645669"
"Europe","12","Summer","989","0.34580384226491405460"
"North America","1","Summer","2792","0.33703438395415472779"
"North America","2","Summer","2456","0.33184039087947882736"
"North America","3","Autumn","2791","0.33213901827302042279"
"North America","4","Autumn","2584","0.34326625386996904025"
"North America","5","Autumn","2687","0.34090063267584666915"
"North America","6","Winter","2615","0.32925430210325047801"
"North America","7","Winter","2755","0.33030852994555353902"
"North America","8","Winter","2729","0.34261634298277757420"
"North America","9","Spring","2589","0.33642332947083816145"
"North America","10","Spring","2746","0.32556445739257101238"
"North America","11","Spring","2645","0.33724007561436672968"
"North America","12","Summer","2623","0.32024399542508577964"
"Oceania","1","Summer","1149","0.33768494342906875544"
"Oceania","2","Summer","1097","0.34184138559708295351"
"Oceania","3","Autumn","1172","0.33191126279863481229"
"Oceania","4","Autumn","1140","0.33157894736842105263"
"Oceania","5","Autumn","1155","0.34805194805194805195"
"Oceania","6","Winter","1170","0.32051282051282051282"
"Oceania","7","Winter","1221","0.33333333333333333333"
"Oceania","8","Winter","1195","0.31548117154811715481"
"Oceania","9","Spring","1172","0.32593856655290102389"
"Oceania","10","Spring","1142","0.33625218914185639229"
"Oceania","11","Spring","1140","0.35175438596491228070"
"Oceania","12","Summer","1113","0.33782569631626235400"
"South America","1","Summer","815","0.36441717791411042945"
"South America","2","Summer","763","0.31061598951507208388"
"South America","3","Autumn","852","0.31572769953051643192"
"South America","4","Autumn","785","0.33375796178343949045"
"South America","5","Autumn","890","0.33483146067415730337"
"South America","6","Winter","763","0.29882044560943643512"
"South America","7","Winter","808","0.31559405940594059406"
"South America","8","Winter","880","0.31250000000000000000"
"South America","9","Spring","808","0.33787128712871287129"
"South America","10","Spring","826","0.32808716707021791768"
"South America","11","Spring","791","0.33249051833122629583"
"South America","12","Summer","827","0.32043530834340991536"
