"airport_name","region","country","total_flights","delay_rate","cancellation_rate"
"Visby Airport","SE-I","Sweden","21","0.61904761904761904762","0.04761904761904761905"
"Sawan Airport","PK-SD","Pakistan","24","0.54166666666666666667","0.20833333333333333333"
"Bradshaw Army Airfield","US-HI","United States","21","0.52380952380952380952","0.28571428571428571429"
"Frederick Regional Airport","US-OK","United States","21","0.47619047619047619048","0.28571428571428571429"
"Horn Island Airport","AU-QLD","Australia","22","0.45454545454545454545","0.36363636363636363636"
"Koolatah Airport","AU-QLD","Australia","22","0.45454545454545454545","0.22727272727272727273"
"David Constantijn Saudale Airport","ID-NT","Indonesia","25","0.44000000000000000000","0.32000000000000000000"
"Nagasaki Airport","JP-42","Japan","21","0.42857142857142857143","0.19047619047619047619"
"Baudette International Airport","US-MN","United States","21","0.42857142857142857143","0.42857142857142857143"
"Lanzhou Zhongchuan Airport","CN-62","China","24","0.41666666666666666667","0.25000000000000000000"
"New Amsterdam Airport","GY-EB","Guyana","22","0.40909090909090909091","0.31818181818181818182"
"Punta Colorada Airport","MX-BCS","Mexico","27","0.40740740740740740741","0.25925925925925925926"
"Amchitka Army Airfield",NULL,"United States","25","0.40000000000000000000","0.44000000000000000000"
"Dadu Airport","PK-SD","Pakistan","21","0.38095238095238095238","0.23809523809523809524"
"Songyuan Chaganhu Airport","CN-22","China","21","0.38095238095238095238","0.33333333333333333333"
"Ibo Airport","MZ-P","Mozambique","21","0.38095238095238095238","0.33333333333333333333"
"Munich Airport","DE-BY","Germany","24","0.37500000000000000000","0.37500000000000000000"
"Great Falls International Airport","US-MT","United States","25","0.36000000000000000000","0.36000000000000000000"
"Bangassou Airport","CF-MB","Central African Republic","23","0.34782608695652173913","0.39130434782608695652"
"Lonely Air Station","US-AK","United States","23","0.34782608695652173913","0.43478260869565217391"
"Mampikony Airport","MG-M","Madagascar","23","0.34782608695652173913","0.21739130434782608696"
"Rocha Airport","CO-LAG","Uruguay","24","0.33333333333333333333","0.37500000000000000000"
"Coalinga Airport","US-CA","United States","24","0.33333333333333333333","0.29166666666666666667"
"L.F. Wade International International Airport","BM-U-A","Bermuda","21","0.33333333333333333333","0.42857142857142857143"
"Karamay Airport","CN-65","China","21","0.33333333333333333333","0.23809523809523809524"
"Dalnerechensk Airport","RU-PRI","Russian Federation","21","0.33333333333333333333","0.47619047619047619048"
"King Mswati III International Airport","SZ-LU","Eswatini","21","0.33333333333333333333","0.38095238095238095238"
"Yangzhou Taizhou Airport","CN-32","China","27","0.33333333333333333333","0.48148148148148148148"
"Lidköping-Hovby Airport","SE-Q","Sweden","21","0.33333333333333333333","0.28571428571428571429"
"Codazzi Airport","CO-CES","Colombia","25","0.32000000000000000000","0.20000000000000000000"
"Mara Lodges Airport","KE-700","Kenya","22","0.31818181818181818182","0.27272727272727272727"
"Heho Airport","MM-17","Myanmar","23","0.30434782608695652174","0.34782608695652173913"
"OR Tambo International Airport","ZA-GT","South Africa","37","0.29729729729729729730","0.18918918918918918919"
"Zona da Mata Regional Airport","BR-MG","Brazil","24","0.29166666666666666667","0.33333333333333333333"
"Kelafo East Airport","ET-SO","Ethiopia","21","0.28571428571428571429","0.33333333333333333333"
"Tromsø Airport","NO-55","Norway","21","0.28571428571428571429","0.42857142857142857143"
"Skypark Airport","US-UT","United States","21","0.28571428571428571429","0.28571428571428571429"
"Hawke's Bay Airport","NZ-HKB","New Zealand","21","0.28571428571428571429","0.23809523809523809524"
"Martha's Vineyard Airport","US-MA","United States","21","0.28571428571428571429","0.33333333333333333333"
"Kuria Airport","KI-G","Kiribati","21","0.28571428571428571429","0.42857142857142857143"
"Böblingen Flugfeld",NULL,"Germany","36","0.27777777777777777778","0.36111111111111111111"
"Mae Hong Son Airport","TH-58","Thailand","29","0.27586206896551724138","0.44827586206896551724"
"Zaraza Airport",NULL,"Venezuela, Bolivarian Republic of","26","0.26923076923076923077","0.26923076923076923077"
"Witu Airport","PG-WBK","Papua New Guinea","23","0.26086956521739130435","0.34782608695652173913"
"Hong Kong International Airport Kai Tak","HK-NT","Hong Kong","24","0.25000000000000000000","0.41666666666666666667"
"Maliana airport","TL-BO","Indonesia","32","0.25000000000000000000","0.37500000000000000000"
"Billings Logan International Airport","US-MT","United States","21","0.23809523809523809524","0.28571428571428571429"
"Weam Airport","PG-WPD","Papua New Guinea","21","0.23809523809523809524","0.47619047619047619048"
"Villa Garzón Airport","CO-PUT","Colombia","21","0.23809523809523809524","0.42857142857142857143"
"Rodelillo Airport","CL-VS","Chile","21","0.23809523809523809524","0.38095238095238095238"
"Shah Mokhdum Airport","BD-5","Bangladesh","22","0.22727272727272727273","0.36363636363636363636"
"Xai-Xai Airport","MZ-G","Mozambique","22","0.22727272727272727273","0.31818181818181818182"
"Del Caribe Santiago Mariño International Airport","VE-O","Venezuela, Bolivarian Republic of","23","0.21739130434782608696","0.21739130434782608696"
"Lumbala Airport","AO-MOX","Angola","21","0.19047619047619047619","0.42857142857142857143"
"Danilo Atienza Air Base","PH-CAV","Philippines","24","0.16666666666666666667","0.50000000000000000000"
