"total_population","total_flights","delay_rate"
"9992","16","0.31250000000000000000"
"11801","7","0.28571428571428571429"
"17759","5","0.60000000000000000000"
"28870","24","0.33333333333333333333"
"37609","9","0.22222222222222222222"
"38319","31","0.38709677419354838710"
"38931","7","0.28571428571428571429"
"40077","353","0.34560906515580736544"
"42139","9","0.55555555555555555556"
"45847","68","0.26470588235294117647"
"46078","43","0.32558139534883720930"
"46709","23","0.30434782608695652174"
"48342","45","0.22222222222222222222"
"53912","11","0.27272727272727272727"
"56661","359","0.29526462395543175487"
"64749","21","0.33333333333333333333"
"66826","27","0.22222222222222222222"
"71591","27","0.29629629629629629630"
"79705","7","0.14285714285714285714"
"84132","12","0.50000000000000000000"
"92840","20","0.35000000000000000000"
"102046","46","0.39130434782608695652"
"105042","69","0.37681159420289855072"
"105413","52","0.30769230769230769231"
"107310","9","0.22222222222222222222"
"112114","64","0.34375000000000000000"
"116913","23","0.21739130434782608696"
"119878","62","0.35483870967741935484"
"130469","252","0.31349206349206349206"
"165180","26","0.30769230769230769231"
"178781","18","0.55555555555555555556"
"215261","43","0.51162790697674418605"
"226305","29","0.37931034482758620690"
"280378","535","0.32149532710280373832"
"282318","13","0.23076923076923076923"
"287123","151","0.25827814569536423841"
"313046","327","0.35168195718654434251"
"382003","409","0.33007334963325183374"
"397538","402","0.33333333333333333333"
"402733","218","0.31192660550458715596"
"455370","8","0.12500000000000000000"
"519741","115","0.44347826086956521739"
"524106","133","0.36090225563909774436"
"531113","16","0.25000000000000000000"
"623164","159","0.32075471698113207547"
"623591","45","0.42222222222222222222"
"653103","9","0.44444444444444444444"
"677300","14","0.21428571428571428571"
"780914","46","0.41304347826086956522"
"781066","418","0.32296650717703349282"
"821637","288","0.31597222222222222222"
"834188","47","0.34042553191489361702"
"919422","300","0.30000000000000000000"
"1137096","44","0.22727272727272727273"
"1218917","30","0.33333333333333333333"
"1262523","24","0.33333333333333333333"
"1331370","54","0.33333333333333333333"
"1348840","52","0.34615384615384615385"
"1365805","23","0.30434782608695652174"
"1369295","69","0.37681159420289855072"
"1524693","12","0.25000000000000000000"
"1803545","61","0.40983606557377049180"
"1831712","26","0.46153846153846153846"
"1879383","34","0.38235294117647058824"
"2105529","10","0.10000000000000000000"
"2112076","32","0.37500000000000000000"
"2286110","177","0.25988700564971751412"
"2430747","326","0.26073619631901840491"
"2439892","174","0.32758620689655172414"
"2451636","12","0.41666666666666666667"
"2528654","24","0.41666666666666666667"
"2636470","15","0.33333333333333333333"
"2657333","39","0.33333333333333333333"
"2831639","63","0.34920634920634920635"
"2839144","83","0.39759036144578313253"
"2969200","21","0.28571428571428571429"
"3204802","47","0.38297872340425531915"
"3220137","160","0.35000000000000000000"
"3390913","174","0.34482758620689655172"
"3409447","48","0.41666666666666666667"
"3433748","263","0.33079847908745247148"
"3712502","35","0.31428571428571428571"
"3855641","100","0.33000000000000000000"
"4400773","406","0.31280788177339901478"
"4589643","23","0.26086956521739130435"
"4730226","201","0.37313432835820895522"
"4875637","199","0.32160804020100502513"
"5043612","31","0.48387096774193548387"
"5081700","594","0.33164983164983164983"
"5081765","313","0.32268370607028753994"
"5098039","241","0.28215767634854771784"
"5212836","193","0.27979274611398963731"
"5373294","160","0.40625000000000000000"
"5431752","75","0.28000000000000000000"
"5457127","603","0.32835820895522388060"
"5556106","338","0.36390532544378698225"
"5637022","44","0.34090909090909090909"
"5744489","25","0.32000000000000000000"
"5903037","176","0.28409090909090909091"
"6035104","285","0.33684210526315789474"
"6280319","14","0.35714285714285714286"
"6465097","110","0.35454545454545454545"
"6664449","43","0.27906976744186046512"
"6730654","143","0.42657342657342657343"
"6760464","162","0.30864197530864197531"
"6975220","38","0.36842105263157894737"
"7223805","221","0.32579185520361990950"
"7230193","54","0.27777777777777777778"
"7346100","36","0.27777777777777777778"
"7559007","171","0.26900584795321637427"
"8276807","84","0.33333333333333333333"
"8777088","146","0.29452054794520547945"
"9041851","91","0.29670329670329670330"
"9089738","23","0.17391304347826086957"
"9228071","67","0.38805970149253731343"
"9557500","163","0.29447852760736196319"
"9605074","65","0.30769230769230769231"
"10074977","158","0.28481012658227848101"
"10141756","87","0.28735632183908045977"
"10182222","43","0.32558139534883720930"
"10203169","4081","0.33619210977701543739"
"10434332","252","0.38492063492063492063"
"10436882","488","0.36065573770491803279"
"10463872","312","0.35256410256410256410"
"10486941","579","0.34715025906735751295"
"10672118","141","0.36879432624113475177"
"11021177","48","0.39583333333333333333"
"11059820","343","0.36151603498542274052"
"11230734","137","0.36496350364963503650"
"11256263","43","0.32558139534883720930"
"11503606","56","0.35714285714285714286"
"11680210","72","0.27777777777777777778"
"12077154","404","0.35643564356435643564"
