Country Name,Country Code,Series Name,Series Code,2022 [YR2022]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,40578842
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,14497243872.1337
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,357.261152798144
Afghanistan,AFG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,327
Afghanistan,AFG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.278420956418618
Albania,ALB,"Population, total",SP.POP.TOTL,2451636
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,19017247013.8821
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,7756.96188744253
Albania,ALB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1485
Albania,ALB,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.84525761573088
Algeria,DZA,"Population, total",SP.POP.TOTL,45477389
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,225581644702.568
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4960.30334332888
Algeria,DZA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,89
Algeria,DZA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,4.16005852930563
American Samoa,ASM,"Population, total",SP.POP.TOTL,48342
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,871000000
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,18017.4589383973
American Samoa,ASM,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
American Samoa,ASM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.00206859459683091
Andorra,AND,"Population, total",SP.POP.TOTL,79705
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3380611694.73392
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,42414.0479861228
Andorra,AND,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..
Andorra,AND,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,..
Angola,AGO,"Population, total",SP.POP.TOTL,35635029
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,131212208930.344
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,3682.1131513698
Angola,AGO,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1010
Angola,AGO,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.748810952279567
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,92840
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1866566666.66667
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,20105.1989085164
Antigua and Barbuda,ATG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1030
